,event_time,symbol,base_volume,close_price,first_trade_id,high_price,ignore,interval,is_closed,kline_close_time,kline_start_time,last_trade_id,low_price,number_of_trades,open_price,quote,taker_by_base_asset_volume,taker_by_quote_asset_volume
0,1634125082880,FTMUSDT,2887.00000000,2.03370000,False,2.03440000,0,1m,False,1634125139999,1634125080000,False,2.03370000,14,2.03430000,5871.90010000,2273.00000000,4623.14690000
0,1634125145378,FTMUSDT,17760.00000000,2.03190000,False,2.03270000,0,1m,False,1634125199999,1634125140000,False,2.03080000,22,2.03080000,36085.58620000,17760.00000000,36085.58620000
0,1634125203571,FTMUSDT,1881.00000000,2.03250000,False,2.03250000,0,1m,False,1634125259999,1634125200000,False,2.03120000,9,2.03120000,3821.52800000,1711.00000000,3476.15600000
0,1634125262766,FTMUSDT,3453.00000000,2.03100000,False,2.03210000,0,1m,False,1634125319999,1634125260000,False,2.03010000,18,2.03010000,7012.44350000,3414.00000000,6933.23870000
0,1634125323809,FTMUSDT,6491.00000000,2.03270000,False,2.03280000,0,1m,False,1634125379999,1634125320000,False,2.03090000,22,2.03090000,13188.66510000,6491.00000000,13188.66510000
0,1634125383371,FTMUSDT,1586.00000000,2.03330000,False,2.03330000,0,1m,False,1634125439999,1634125380000,False,2.03320000,4,2.03320000,3224.79000000,1586.00000000,3224.79000000
0,1634125442302,FTMUSDT,45.00000000,2.03350000,False,2.03350000,0,1m,False,1634125499999,1634125440000,False,2.03330000,2,2.03330000,91.50050000,45.00000000,91.50050000
0,1634125503518,FTMUSDT,1524.00000000,2.03690000,False,2.03690000,0,1m,False,1634125559999,1634125500000,False,2.03580000,5,2.03580000,3102.70660000,1524.00000000,3102.70660000
0,1634125565658,FTMUSDT,375.00000000,2.03160000,False,2.03170000,0,1m,False,1634125619999,1634125560000,False,2.03160000,2,2.03170000,761.88690000,369.00000000,749.69730000
0,1634125622824,FTMUSDT,3437.00000000,2.02910000,False,2.02920000,0,1m,False,1634125679999,1634125620000,False,2.02780000,25,2.02870000,6973.54950000,1332.00000000,2702.89440000
0,1634125684016,FTMUSDT,8.00000000,2.02820000,False,2.02820000,0,1m,False,1634125739999,1634125680000,False,2.02820000,1,2.02820000,16.22560000,8.00000000,16.22560000
0,1634125743149,FTMUSDT,200.00000000,2.02670000,False,2.02670000,0,1m,False,1634125799999,1634125740000,False,2.02670000,1,2.02670000,405.34000000,200.00000000,405.34000000
0,1634125747172,FTMUSDT,1354.00000000,2.02700000,False,2.02700000,0,1m,False,1634125799999,1634125740000,False,2.02670000,2,2.02670000,2744.49800000,1354.00000000,2744.49800000
0,1634125802833,FTMUSDT,4069.00000000,2.02730000,False,2.02730000,0,1m,False,1634125859999,1634125800000,False,2.02670000,13,2.02670000,8247.71630000,3980.00000000,8067.31680000
0,1634125864500,FTMUSDT,547.00000000,2.02910000,False,2.02910000,0,1m,False,1634125919999,1634125860000,False,2.02900000,3,2.02900000,1109.90300000,147.00000000,298.26300000
0,1634125866827,FTMUSDT,1222.00000000,2.02890000,False,2.02940000,0,1m,False,1634125919999,1634125860000,False,2.02890000,5,2.02900000,2479.53300000,392.00000000,795.46600000
0,1634125923708,FTMUSDT,275.00000000,2.02910000,False,2.02910000,0,1m,False,1634125979999,1634125920000,False,2.02910000,2,2.02910000,558.00250000,275.00000000,558.00250000
0,1634125982667,FTMUSDT,317.00000000,2.03260000,False,2.03260000,0,1m,False,1634126039999,1634125980000,False,2.03190000,4,2.03210000,644.18310000,196.00000000,398.31610000
0,1634125984854,FTMUSDT,653.00000000,2.03200000,False,2.03260000,0,1m,False,1634126039999,1634125980000,False,2.03190000,6,2.03210000,1326.95230000,446.00000000,906.31610000
0,1634125986920,FTMUSDT,2700.00000000,2.03220000,False,2.03260000,0,1m,False,1634126039999,1634125980000,False,2.03190000,12,2.03210000,5486.62610000,2493.00000000,5065.98990000
0,1634125988943,FTMUSDT,125501.00000000,2.02780000,False,2.03320000,0,1m,False,1634126039999,1634125980000,False,2.02450000,146,2.03210000,254427.36490000,6852.00000000,13915.33840000
0,1634126044067,FTMUSDT,1219.00000000,2.03040000,False,2.03060000,0,1m,False,1634126099999,1634126040000,False,2.03020000,7,2.03050000,2475.13460000,1015.00000000,2060.97300000
0,1634126104436,FTMUSDT,1068.00000000,2.03140000,False,2.03140000,0,1m,False,1634126159999,1634126100000,False,2.03020000,9,2.03020000,2168.71680000,1068.00000000,2168.71680000
0,1634126163452,FTMUSDT,2319.00000000,2.03360000,False,2.03370000,0,1m,False,1634126219999,1634126160000,False,2.03340000,4,2.03370000,4715.81860000,1459.00000000,2966.92260000
